ResponseId,StartDate,EndDate,cpi_Direction_vision_1_The company's vision is very clear.,cpi_Direction_vision_2_I can summarize the company's vision to someone I meet.,cpi_Direction_vision_3_I feel inspired by the company's vision.,cpi_Direction_vision_4_Leaders are passionate about the company's vision.,cpi_Direction_vision_5_Leaders are guided by the company's vision.,cpi_Direction_strategy_1_I have confidence in the company's strategy.,cpi_Direction_strategy_2_I know what my company wants to achieve in the next year.,cpi_Direction_strategy_3_This company knows how to get the results it is looking for.,cpi_Direction_strategy_4_We know what our next step is for improving our capabilities.,cpi_Direction_strategy_5_Leadership effectively connects my work to the company goals.,cpi_Direction_leadership_1_I have a great deal of confidence in the leadership of this company.,cpi_Direction_leadership_2_Company leaders impact the attitude and culture of the entire company.,cpi_Direction_leadership_3_The leadership of this company is fantastic in comparison to the leadership of other organizations I've been involved with.,cpi_Direction_leadership_4_Leaders find the time to get to know the employees.,cpi_Direction_leadership_5_I have confidence in the decision making of company leaders. ,cpi_Operations_adaptability_1_We deal with the same problems again and again.*,cpi_Operations_adaptability_2_Company changes usually have a positive impact on me.,cpi_Operations_adaptability_3_People look to pass the blame when something goes wrong.*,"cpi_Operations_adaptability_4_If an issue arises, people mostly remain calm and focused.",cpi_Operations_adaptability_5_We use feedback from customers to improve our services.,cpi_Operations_performance_1_I have real time access to business i.,cpi_Operations_performance_2_My team uses performance measures (i.e. key performance indicators).,cpi_Operations_performance_3_We are recognized for our successes.,cpi_Operations_performance_4_We have a clear sense at all times whether or not we're meeting our objectives.,cpi_Operations_performance_5_We are held accountable for our performance.,cpi_Operations_systems_1_I often use 'workarounds' instead of the company's established systems.*,cpi_Operations_systems_2_It often takes too long to get the information I need.*,"cpi_Operations_systems_3_Oftentimes, I have to take care of things that shouldn't be my responsibility.*",cpi_Operations_systems_4_I know who to go to when I have concerns about our systems/processes.,cpi_Operations_systems_5_I follow the company's standardized procedures.,cpi_People_teamwork_1_Our team consistently meets our goals.,cpi_People_teamwork_2_Our work would be better if we collaborated more.,cpi_People_teamwork_3_Our skills complement each other well.,cpi_People_teamwork_4_There's a real sense that I am part of a team.,cpi_People_teamwork_5_Our company has a spirit of teamwork and cooperation.,cpi_People_talent_1_My company does a good job of hiring the right people for the right jobs.,cpi_People_talent_2_I am confident my performance affects my compensation.,cpi_People_talent_3_I get along well with my supervisor.,cpi_People_talent_4_Performance reviews are a waste of time.*,"cpi_People_talent_5_Based on my experience, the company does a great job of acclimating new employees.",cpi_People_development_1_I get helpful feedback from my supervisor on a regular basis.,cpi_People_development_2_I am consistently improving at my job.,cpi_People_development_3_People here are always willing to help me learn.,cpi_People_development_4_The company invests in employees learning new skills.,cpi_People_development_5_I have grown professionally during my time with this company.,cpi_Engagement_fit_1_My job role is always extremely clear.,cpi_Engagement_fit_2_I am very frequently overwhelmed at work.*,cpi_Engagement_fit_3_My job is a great fit for my skills and strengths.,cpi_Engagement_fit_4_I embrace the company's core values.,cpi_Engagement_fit_5_I look forward to going to work.,cpi_Engagement_customer_1_I believe in the products or services we provide.,cpi_Engagement_customer_2_I respond to customer needs as quickly as possible.,cpi_Engagement_customer_3_I build great relationships with my customers.,cpi_Engagement_customer_4_I'm disappointed if I don't meet my customers' expectations.,cpi_Engagement_customer_5_I seek feedback from customers to improve our products or services.,cpi_Engagement_climate_1_My opinions are heard and valued.,cpi_Engagement_climate_2_I am confident that leadership understands what I do.,cpi_Engagement_climate_3_I am very comfortable letting my supervisor know when I've made a mistake.,cpi_Engagement_climate_4_I trust my supervisor has my best interest in mind.,cpi_Engagement_climate_5_I feel micromanaged.*,extra_pos_positivity_1_People in my organization express genuine gratitude toward one another.,extra_pos_positivity_2_I practice mindfulness by staying in the present moment while doing my work.,extra_pos_positivity_3_People I work with generally feel optimistic about the organization's future.,extra_pos_positivity_4_People that I work with care about my happiness and well-being.,extra_pos_positivity_5_I feel inspired every day to do my best work.,"extra_sat_satisfaction_1_Taking everything into consideration, I am satisfied with my job as a whole.",extra_eff_effort_2_I am willing to put in a great deal of effort beyond what is normally expected in order to help the organization.,nps,nps_group,CPI_index,Direction,Operations,People,Engagement,Vision,Strategy,Leadership,Adaptability,Performance,Systems,Teamwork,Talent,Development,Fit,Customer,Climate,Positivity,CPI_missing,CPI_tot_sd,Direction_sd,Operations_sd,People_sd,Engagement_sd,TENURE,FUNCTION,LEVEL,LOCATION,GENERATION,GENDER
32,"Jul 6, 2020 6:33:22 PM","Jul 6, 2020 6:43:18 PM",50,25,25,25,25,25,25,25,25,25,50,25,25,25,25,25,50,50,75,50,50,75,25,25,50,25,25,50,25,75,75,75,75,50,50,50,75,100,75,50,25,25,100,25,75,25,25,0,25,100,100,100,100,100,75,25,25,75,100,100,75,75,75,50,100,75,100,8,Passive,50,28.333333333333332,45,61.666666666666664,65,30,25,30,50,45,40,65,70,50,35,95,65,75,0,28.9741765804313,8.79664438186246,19.364916731037084,24.760760046800623,38.72983346207417,Less than a year,Sales,Team Member,"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
39,"Jul 6, 2020 6:47:29 PM","Jul 7, 2020 5:15:48 AM",100,100,100,75,75,75,75,75,75,75,100,100,75,75,75,NA,50,50,50,75,25,75,50,25,75,50,75,75,75,75,50,100,100,100,75,75,75,100,75,75,75,75,100,100,75,75,75,100,100,100,100,100,75,100,100,75,25,100,75,75,50,75,75,75,100,75,100,10,Promoter,77.96610169491525,83.33333333333333,58.92857142857143,83.33333333333333,85,90,75,85,56.25,50,70,85,80,85,90,95,70,75,1,21.768709138225734,12.198750911856663,18.6236585917123,15.430334996209192,20.701966780270627,9+ years,Operations,Management,"Baton Rouge, LA",Generation X (born between 1966 - 1980),Male
41,"Jul 6, 2020 6:50:14 PM","Jul 6, 2020 7:11:35 PM",75,75,50,50,50,75,75,50,50,50,75,75,75,50,50,25,50,50,75,25,75,25,50,75,25,25,50,25,75,75,75,75,75,75,75,50,50,75,50,50,50,50,50,50,75,50,50,75,75,75,75,100,50,100,50,75,75,75,75,75,50,50,50,75,75,75,100,7,Passive,60.833333333333336,61.666666666666664,48.333333333333336,61.666666666666664,71.66666666666667,60,60,65,45,50,50,75,55,55,65,75,75,60,0,19.354052042251986,12.909944487358056,22.09287754221342,12.909944487358056,15.998511835554611,1 - 4 years,Operations,Management,"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
46,"Jul 6, 2020 6:58:17 PM","Jul 7, 2020 3:58:12 AM",100,100,100,100,100,75,100,75,75,75,100,100,100,75,100,50,75,50,50,75,75,75,75,100,100,25,100,75,100,75,75,100,100,75,75,75,100,100,75,75,75,75,100,100,100,50,75,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,75,100,100,100,10,Promoter,86.25,91.66666666666667,73.33333333333333,86.66666666666667,93.33333333333333,100,80,95,60,85,75,85,85,90,85,100,95,80,0,20.385758296598635,12.198750911856663,22.09287754221342,12.909944487358056,14.840420992616592,Less than a year,Order Process & Quality,Supervisor,"Dominquez, CA",Generation Y (born between 1981 - 2000),Male
48,"Jul 6, 2020 7:03:25 PM","Jul 6, 2020 7:11:37 PM",100,100,100,100,100,100,100,75,75,75,100,100,100,50,100,25,100,0,0,0,50,50,50,100,50,75,50,100,50,100,50,75,50,50,75,25,100,100,100,50,75,100,75,50,75,25,50,100,100,50,100,100,100,100,100,50,50,100,100,100,75,100,100,100,100,100,100,8,Passive,74.16666666666667,91.66666666666667,53.333333333333336,70,81.66666666666667,100,85,90,25,60,75,60,75,75,65,100,80,95,0,30.80086939896063,15.430334996209192,36.433239663540114,23.528098702858006,27.494588212089685,Less than a year,Sales,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Male
53,"Jul 6, 2020 7:15:44 PM","Jul 6, 2020 7:23:44 PM",25,0,0,25,25,25,50,0,25,25,25,75,50,0,25,0,25,0,50,50,75,25,0,0,25,25,25,0,25,75,75,50,50,25,0,25,25,100,50,0,25,75,50,25,100,25,25,75,50,50,75,75,50,75,50,50,25,100,50,100,50,75,25,25,50,75,100,6,Detractor,38.75,25,26.666666666666668,45,58.333333333333336,15,25,35,25,25,30,40,40,55,45,65,65,45,0,28.846283889996904,21.128856368212915,25.81988897471611,31.622776601683793,24.397501823713327,9+ years,Operations,Management,"Ferndale, WA",Generation X (born between 1966 - 1980),Male
54,"Jul 6, 2020 7:43:55 PM","Jul 7, 2020 8:44:49 AM",75,75,NA,75,75,75,75,75,75,75,75,75,75,25,75,0,50,25,50,25,NA,75,75,100,75,75,50,25,75,75,75,75,75,75,75,25,100,75,75,75,75,75,50,50,75,75,25,75,75,75,75,100,100,100,100,50,75,75,75,100,75,75,75,50,75,100,75,8,Passive,68.96551724137932,71.42857142857143,55.357142857142854,70,78.33333333333333,75,75,65,30,81.25,60,75,70,65,65,95,75,70,2,22.939704259356702,13.36306209562122,28.04284398739006,16.903085094570333,20.845234695819798,5 - 8 years,Sales,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Male
58,"Jul 6, 2020 8:27:27 PM","Jul 6, 2020 8:57:56 PM",75,100,100,75,75,75,100,75,100,100,75,100,75,100,75,25,100,50,75,75,100,100,75,75,100,75,50,50,100,100,75,100,75,75,75,75,75,100,100,50,100,75,100,100,100,100,75,100,100,100,100,100,100,100,100,75,100,100,75,100,75,75,75,50,100,100,100,8,Passive,85.83333333333333,86.66666666666667,76.66666666666667,85,95,85,90,85,65,90,75,80,80,95,95,100,90,75,0,20.327993312714028,12.909944487358056,24.028752618081374,15.811388300841896,10.350983390135314,9+ years,Supply Chain,Leadership (Director and up),"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
61,"Jul 6, 2020 9:43:21 PM","Jul 7, 2020 12:18:36 AM",75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,25,75,25,25,75,50,75,75,75,75,25,75,25,100,100,75,75,75,100,75,25,100,75,25,50,75,75,75,75,75,100,100,75,50,75,75,100,100,75,75,75,75,75,75,25,100,100,75,75,100,100,100,10,Promoter,70.83333333333333,76.66666666666667,60,70,76.66666666666667,75,75,80,45,70,65,80,55,75,80,85,65,90,0,22.686303105847294,6.454972243679028,28.030595529069405,21.547290184283366,19.970215917949506,9+ years,Operations,Supervisor,"Matrix (Houston, TX)",Generation X (born between 1966 - 1980),Male
62,"Jul 6, 2020 9:59:00 PM","Jul 6, 2020 10:08:13 PM",75,75,75,75,75,50,75,75,75,75,75,100,75,75,75,25,75,75,75,75,75,50,75,75,75,75,50,25,75,75,50,75,75,75,75,75,75,75,75,50,75,75,75,75,75,75,50,75,75,75,75,100,100,100,100,75,75,75,75,75,75,75,75,75,75,75,75,8,Passive,72.91666666666667,75,65,71.66666666666667,80,75,70,80,65,70,60,70,70,75,70,95,75,75,0,16.618017144525258,9.44911182523068,18.41970994032518,8.79664438186246,14.015297764534703,1 - 4 years,Sales,Management,Singapore,Generation Y (born between 1981 - 2000),Female
63,"Jul 6, 2020 10:07:16 PM","Jul 6, 2020 11:48:06 PM",100,100,100,100,75,75,75,75,75,75,75,100,75,75,75,25,75,50,50,50,25,25,50,50,50,75,50,50,75,75,50,50,50,50,50,50,50,75,75,25,50,50,50,25,75,75,50,50,75,75,75,100,75,100,75,75,75,75,75,75,50,75,50,75,50,75,100,9,Promoter,65.41666666666667,83.33333333333333,51.666666666666664,51.666666666666664,75,95,75,80,50,40,65,50,55,50,65,85,75,60,0,21.453304989654647,12.198750911856663,17.59328876372492,14.840420992616592,13.36306209562122,9+ years,Operations,Supervisor,"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
64,"Jul 7, 2020 12:46:48 AM","Jul 7, 2020 1:13:03 AM",75,75,75,50,50,75,75,75,75,50,75,75,50,75,75,0,50,0,50,50,75,75,75,50,75,25,0,0,75,75,75,50,50,50,50,50,50,75,75,50,50,75,50,50,75,75,25,75,75,100,100,100,100,100,100,75,50,75,50,50,75,75,75,75,100,100,100,9,Promoter,62.083333333333336,68.33333333333333,45,58.333333333333336,76.66666666666667,65,70,70,30,70,35,55,60,60,70,100,60,80,0,25.01040990888488,11.443442705426587,31.622776601683793,12.198750911856663,24.028752618081374,5 - 8 years,Sales,Team Member,"Houston, TX",Generation Y (born between 1981 - 2000),Male
66,"Jul 7, 2020 2:56:14 AM","Jul 7, 2020 3:09:18 AM",0,25,25,25,25,0,50,25,50,75,25,75,50,50,0,0,50,0,50,75,50,50,50,75,50,50,50,0,100,50,50,50,50,75,25,50,75,50,50,50,50,75,50,25,100,25,25,50,75,50,100,75,50,75,75,25,75,75,75,50,50,75,25,0,50,25,100,4,Detractor,48.75,33.333333333333336,46.666666666666664,55,60,20,40,40,35,55,50,50,55,60,45,75,60,40,0,25.725372066889623,24.397501823713327,28.136571693556885,19.364916731037084,22.75647474581999,9+ years,Operations,Supervisor,Belgium,Generation Y (born between 1981 - 2000),Male
67,"Jul 7, 2020 4:08:26 AM","Jul 7, 2020 4:20:19 AM",75,75,75,75,75,75,75,25,50,50,75,75,50,25,50,75,50,50,75,25,75,50,75,75,75,75,0,25,25,0,25,25,25,75,50,50,75,75,50,75,75,75,50,50,75,75,50,100,100,100,100,100,100,100,100,50,50,75,100,50,75,75,75,75,75,100,100,10,Promoter,62.916666666666664,61.666666666666664,50,56.666666666666664,83.33333333333333,75,55,55,55,70,25,40,65,65,85,100,65,75,0,26.24263937132457,18.580583823930162,28.34733547569204,19.970215917949506,22.493385271060934,5 - 8 years,Sales,Team Member,Spain,Generation X (born between 1966 - 1980),Male
71,"Jul 7, 2020 7:49:07 AM","Jul 7, 2020 8:16:18 AM",75,75,75,75,75,75,75,75,75,75,75,100,75,25,75,25,50,50,50,75,100,100,75,75,75,75,75,50,100,75,50,75,75,75,75,50,75,100,100,50,100,75,75,75,50,75,50,100,100,75,100,100,75,75,50,75,75,100,100,100,50,75,50,75,75,75,100,8,Passive,75,73.33333333333333,70,73.33333333333333,83.33333333333333,75,75,70,50,85,75,70,75,75,80,80,90,65,0,20.459585990694663,14.840420992616592,21.547290184283366,17.59328876372492,18.09367161139365,1 - 4 years,Finance/IT,Management,"Houston, TX",Generation X (born between 1966 - 1980),Male
72,"Jul 7, 2020 7:54:03 AM","Jul 7, 2020 8:06:41 AM",75,50,75,50,50,50,25,75,50,50,50,75,25,25,50,25,50,25,50,50,25,75,25,25,25,75,75,25,75,75,75,75,50,25,25,50,25,75,75,75,25,50,50,75,75,25,75,50,50,50,75,75,50,50,50,50,50,75,50,25,25,75,50,50,50,75,25,6,Detractor,51.666666666666664,51.666666666666664,46.666666666666664,55,53.333333333333336,60,50,45,40,35,65,50,60,55,50,60,50,50,0,20.228093685139747,17.59328876372492,22.886885410853175,21.547290184283366,15.998511835554611,9+ years,Order Process & Quality,Team Member,"SARNA, Canada",Generation X (born between 1966 - 1980),Male
73,"Jul 7, 2020 7:54:55 AM","Jul 7, 2020 8:24:00 AM",100,100,75,100,100,75,75,75,50,100,75,75,100,100,75,50,50,75,75,75,75,75,100,75,100,100,100,50,100,100,75,75,100,100,100,50,100,100,100,75,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,75,100,100,100,100,10,Promoter,87.5,85,80,91.66666666666667,93.33333333333333,95,75,85,65,85,90,90,85,100,90,100,90,95,0,20.508999262928214,15.811388300841896,19.364916731037084,15.430334996209192,17.59328876372492,9+ years,Order Process & Quality,Team Member,"Beaumont, TX",Baby Boomer (born between 1946 - 1965),Male
75,"Jul 7, 2020 8:01:12 AM","Jul 7, 2020 8:17:24 AM",75,75,50,75,50,25,75,50,50,50,25,100,0,0,25,0,50,0,25,75,25,25,50,50,25,100,50,75,50,100,50,50,50,50,25,25,25,100,50,25,75,75,50,25,50,75,50,50,75,50,75,75,50,100,50,0,50,100,75,75,0,75,50,0,25,50,75,2,Detractor,51.666666666666664,48.333333333333336,46.666666666666664,48.333333333333336,63.333333333333336,65,50,30,30,35,75,45,45,55,60,70,60,30,0,27.523379695678642,29.072978781646974,31.14864515894865,22.09287754221342,24.760760046800623,Less than a year,Order Process & Quality,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Female
78,"Jul 7, 2020 8:07:34 AM","Jul 7, 2020 8:51:12 AM",25,25,25,50,50,50,25,25,25,25,50,100,75,75,75,0,100,0,75,25,25,25,25,25,25,25,0,0,75,75,50,75,75,75,50,75,75,100,75,25,75,75,75,75,75,50,25,75,75,75,75,100,100,100,100,25,50,75,100,100,50,75,25,75,75,75,100,6,Detractor,56.25,46.666666666666664,33.333333333333336,70,75,35,30,75,40,25,35,65,70,75,60,95,70,60,0,30.740660112655668,24.760760046800623,32.274861218395145,16.903085094570333,26.72612419124244,1 - 4 years,Sales,Management,"Houston, TX",Generation Y (born between 1981 - 2000),Male
